domain,fault_type,controller,seed,tsvr,intervention_rate,oasg
industrial,stuck_sensor,dc3s,3001,0.0,0.0,1.0
industrial,stuck_sensor,dc3s,3002,0.0,0.0,1.0
industrial,stuck_sensor,dc3s,3003,0.0,0.0,1.0
industrial,stuck_sensor,dc3s,3004,0.0,0.0,1.0
healthcare,stuck_sensor,nominal,3000,1.0,0.0,1.0
healthcare,stuck_sensor,nominal,3001,1.0,0.0,1.0
healthcare,stuck_sensor,nominal,3002,1.0,0.0,1.0
healthcare,stuck_sensor,nominal,3003,1.0,0.0,1.0
healthcare,stuck_sensor,nominal,3004,1.0,0.0,1.0
healthcare,stuck_sensor,dc3s,3000,0.270833,0.0,1.0
healthcare,stuck_sensor,dc3s,3001,0.270833,0.0,1.0
healthcare,stuck_sensor,dc3s,3002,0.270833,0.0,1.0
healthcare,stuck_sensor,dc3s,3003,0.270833,0.0,1.0
healthcare,stuck_sensor,dc3s,3004,0.270833,0.0,1.0
aerospace,stuck_sensor,nominal,3000,0.0,0.0,1.0
aerospace,stuck_sensor,nominal,3001,0.0,0.0,1.0
aerospace,stuck_sensor,nominal,3002,0.0,0.0,1.0
aerospace,stuck_sensor,nominal,3003,0.0,0.0,1.0
aerospace,stuck_sensor,nominal,3004,0.0,0.0,1.0
aerospace,stuck_sensor,dc3s,3000,0.0,0.0,1.0
aerospace,stuck_sensor,dc3s,3001,0.0,0.0,0.962372
aerospace,stuck_sensor,dc3s,3002,0.0,0.0,1.0
aerospace,stuck_sensor,dc3s,3003,0.0,0.0,0.972097
aerospace,stuck_sensor,dc3s,3004,0.0,0.0,0.979032
vehicle,stuck_sensor,nominal,3000,0.416667,0.0,1.0
vehicle,stuck_sensor,nominal,3001,0.416667,0.0,1.0
vehicle,stuck_sensor,nominal,3002,0.416667,0.0,1.0
vehicle,stuck_sensor,nominal,3003,0.416667,0.0,1.0
vehicle,stuck_sensor,nominal,3004,0.416667,0.0,1.0
vehicle,stuck_sensor,dc3s,3000,0.0,0.0,0.700538
