t,validity_score,validity_status,normalized_residual,subgroup_gap,drift_score,adaptation_instability,reliability_interaction,shift_alert_flag
1560,0.7632788205708632,nominal,0.310114106293542,0.0,0.11154395874390549,0.05,0.8625590740464677,False
1561,0.8119537670524117,nominal,0.6329370589576861,0.0,0.11134836036249064,0.05,0.0002819742377898615,False
1562,0.8540191849515182,nominal,0.4647455900727035,0.0,0.1114720876515299,0.05,0.0,False
1563,0.8065082548068843,nominal,0.36589487398334286,0.0,0.11154400011480549,0.05,0.4813948444954589,False
1564,0.7800810154668614,nominal,0.3941585733626375,0.0,0.1118382118120063,0.05,0.61007799220052,False
1565,0.8301110709059295,nominal,0.5507593509483948,0.0,0.112180618927902,0.05,0.015086450475942037,False
1566,0.8269777989224343,nominal,0.5338926934388009,0.0,0.11264571070164343,0.05,0.06346590385024542,False
1567,0.8287179992782442,nominal,0.48231250871385056,0.0,0.1130858685934412,0.05,0.13724466549736603,False
1568,0.806310416195358,nominal,0.49543880525967604,0.0,0.11370667193494328,0.05,0.2639236540182279,False
1569,0.6927093529853714,watch,0.7304619235345899,0.0,0.11439155051167749,0.05,0.6286457068576381,False
1570,0.7701635616512682,nominal,0.5570533467709586,0.0,0.11520041107302331,0.05,0.4002201296092499,False
1571,0.8072312278707635,nominal,0.43825031388622904,0.0,0.1159334780377459,0.05,0.3501299870008666,False
1572,0.8046481894841699,nominal,0.44782222561238133,0.0,0.11688378031302388,0.05,0.3501299870008666,False
1573,0.8299435977531284,nominal,0.5559558174445738,0.0,0.11783723942864044,0.05,0.0,False
1574,0.8271367951483841,nominal,0.5660228832336192,0.0,0.11882631501951417,0.05,0.0006148069287212898,False
1575,0.7962635089489913,nominal,0.47899674571933426,0.0,0.11983903285522539,0.05,0.3501299870008666,False
1576,0.829075215146969,nominal,0.5566647904018541,0.0,0.12085366395319652,0.05,0.0005856964128541087,False
1577,0.8005336736011515,nominal,0.46032379604932,0.0,0.12182939668194248,0.05,0.3501299870008666,False
1578,0.834609230354878,nominal,0.5331869465959385,0.0,0.12297016498068702,0.05,0.0,False
1579,0.8216892042618458,nominal,0.5838397713125498,0.0,0.12414017422869829,0.05,0.0001521204285140909,False
1580,0.8110159692004184,nominal,0.6255892439336389,0.0,0.12526625225361074,0.05,0.00022312910299815414,False
1581,0.8143994873350111,nominal,0.6111365182364928,0.0,0.12658191552932826,0.05,0.0,False
1582,0.8240692998352825,nominal,0.5712408281738208,0.0,0.12790930098563022,0.05,0.0002575528275746697,False
1583,0.806411260562906,nominal,0.6409358873270133,0.0,0.1292738380267032,0.05,0.0,False
1584,0.8180633228584965,nominal,0.5931451517323995,0.0,0.13075194604201826,0.05,0.0,False
1585,0.8130183223594605,nominal,0.6120242899405185,0.0,0.132251833894501,0.05,0.00016825584339763555,False
1586,0.8290201590866491,nominal,0.546708835238606,0.0,0.13383130906869442,0.05,0.0002424685997365339,False
1587,0.8065298219987304,nominal,0.4253745962732749,0.0,0.1355351544141045,0.05,0.3501299870008666,False
1588,0.8148040903921155,nominal,0.6009234033327598,0.0,0.1373252938734725,0.05,0.0,False
1589,0.81698054789369,nominal,0.5907316239126127,0.0,0.1390448903089744,0.05,0.00018378710907962503,False
1590,0.8195920943949445,nominal,0.5787975345999512,0.0,0.14080975593009706,0.05,0.00031047179365462085,False
1591,0.8010829137167982,nominal,0.4414415525223533,0.0,0.14268600051241745,0.05,0.3501299870008666,False
1592,0.8284079644193862,nominal,0.5404240593434472,0.0,0.14453526519189427,0.05,0.0005264513758197475,False
1593,0.7470219506234732,watch,0.48148112024653095,0.0,0.14649860048078295,0.05,0.6387203281249159,False
1594,0.831753433241175,nominal,0.524143649555348,0.0,0.14854630288231743,0.05,9.291956829526882e-06,False
1595,0.8009320835614309,nominal,0.4357893794623296,0.0,0.15050536761428396,0.05,0.3501299870008666,False
1596,0.7951828636934866,nominal,0.38219289653181115,0.0,0.5,0.05,0.011792747823737404,False
1597,0.7796107070121508,nominal,0.23261731593725168,0.0,0.5,0.05,0.36489976002357416,False
1598,0.7922933654838206,nominal,0.38026266587783275,0.0,0.5,0.05,0.034273120311475114,False
1599,0.8610551065267796,nominal,0.22577957389288122,0.0,0.0,0.05,0.5,False
1600,0.8650943442381412,nominal,0.20962262304743487,0.0,0.0,0.05,0.5,False
1601,0.8656677439604146,nominal,0.08732902415834194,0.0,0.0,0.05,0.7,False
1602,0.8973752442931777,nominal,0.08049900422728919,0.0,0.0,0.05,0.500000030999999,False
1603,0.8893096151092561,nominal,0.11276152816297595,0.0,0.0,0.05,0.5000000189999996,False
1604,0.8762668701278477,nominal,0.1649324828886112,0.0,0.0,0.05,0.5000000609999963,False
1605,0.874410197877301,nominal,0.17235917249079769,0.0,0.0,0.05,0.5000000599999964,False
1606,0.8678372970417398,nominal,0.19865080043304043,0.0,0.0,0.05,0.5000000189999996,False
1607,0.8533407101788703,nominal,0.25663712328452104,0.0,0.0,0.05,0.5000000599999964,False
1608,0.878778337721383,nominal,0.15488661251446983,0.0,0.0,0.05,0.5000000609999963,False
1609,0.9120876359230656,nominal,0.0216494509077376,0.0,0.0,0.05,0.5000000089999999,False
1610,0.9133553993962199,nominal,0.01657840241512032,0.0,0.0,0.05,0.5,False
1611,0.8857475220190024,nominal,0.1270099119239901,0.0,0.0,0.05,0.5,False
1612,0.8767591904278654,nominal,0.1629632382885379,0.0,0.0,0.05,0.5,False
1613,0.8905611746958684,nominal,0.10775528321652672,0.0,0.0,0.05,0.5000000299999992,False
1614,0.9099083597466445,nominal,0.030366561013421393,0.0,0.0,0.05,0.5,False
1615,0.882703654983267,nominal,0.1391853800669318,0.0,0.0,0.05,0.5,False
1616,0.8756310773106671,nominal,0.16747567215733178,0.0,0.0,0.05,0.500000030999999,False
1617,0.8712408020956134,nominal,0.18503679161754644,0.0,0.0,0.05,0.5,False
1618,0.8124202226528374,nominal,0.42031909798865014,0.0,0.0,0.05,0.5000000189999996,False
1619,0.822684985663952,nominal,0.3792600573441918,0.0,0.0,0.05,0.5,False
1620,0.8677286453046538,nominal,0.19908540678138487,0.0,0.0,0.05,0.5000000199999997,False
1621,0.8886434303822288,nominal,0.11542626107108546,0.0,0.0,0.05,0.5000000289999992,False
1622,0.880525866308521,nominal,0.14789653476591522,0.0,0.0,0.05,0.5,False
1623,0.8813808991652256,nominal,0.14447640333909728,0.0,0.0,0.05,0.5,False
1624,0.8898367359780591,nominal,0.11065305608776319,0.0,0.0,0.05,0.5,False
1625,0.8894711013028075,nominal,0.11211559478877006,0.0,0.0,0.05,0.5,False
1626,0.8889610424186446,nominal,0.11415583032542105,0.0,0.0,0.05,0.5,False
1627,0.8802423466214292,nominal,0.149030613514283,0.0,0.0,0.05,0.5,False
1628,0.8774774250035966,nominal,0.1600902999856133,0.0,0.0,0.05,0.5,False
1629,0.8748949902114197,nominal,0.1704200337543217,0.0,0.0,0.05,0.5000000089999999,False
1630,0.8739635312676514,nominal,0.17414587492939393,0.0,0.0,0.05,0.5,False
1631,0.8671683445600845,nominal,0.2013266217596615,0.0,0.0,0.05,0.5,False
1632,0.8644581990880699,nominal,0.2121671976477205,0.0,0.0,0.05,0.5000000099999999,False
1633,0.8776662004541441,nominal,0.159335180183424,0.0,0.0,0.05,0.5000000299999992,False
1634,0.9118918522687184,nominal,0.02243259092512617,0.0,0.0,0.05,0.5,False
1635,0.9117632279475246,nominal,0.02294707620990152,0.0,0.0,0.05,0.5000000199999997,False
1636,0.9117215435418594,nominal,0.023113825832562045,0.0,0.0,0.05,0.5,False
1637,0.9122975315578782,nominal,0.020809867168487175,0.0,0.0,0.05,0.5000000109999998,False
1638,0.9109141114959937,nominal,0.02634354201602536,0.0,0.0,0.05,0.5000000199999997,False
1639,0.9046077337994372,nominal,0.05156904680225193,0.0,0.0,0.05,0.5000000299999992,False
1640,0.9646732604347685,nominal,0.03432849751741504,0.0,0.09622307592938838,0.05,0.0,False
1641,0.8135921109603357,nominal,0.12350058024277859,0.0,0.09595320064602177,0.05,0.8589473589984358,False
1642,0.846330888483365,nominal,0.04499850747053159,0.0,0.09571509776527602,0.05,0.7718431006396458,False
1643,0.8375304934552582,nominal,0.022717293668433575,0.0,0.09562029483358502,0.05,0.8677741610727755,False
1644,0.8028777951428135,nominal,0.13228197090638844,0.0,0.09559706069002515,0.05,0.9162153332838952,False
1645,0.8056737774858423,nominal,0.12855879463953004,0.0,0.09564097342645478,0.05,0.9037221944598941,False
1646,0.827513496595355,nominal,0.028067482649059977,0.0,0.09575164991742852,0.05,0.9254620183926288,False
1647,0.8546991374704731,nominal,0.024677060038005252,0.0,0.09592868924315297,0.05,0.7496390644759662,False
1648,0.8428725073728925,nominal,0.02924020471091335,0.0,0.12700036934209916,0.05,0.7794491172063953,False
1649,0.8209889907271701,nominal,0.04554605371945963,0.0,0.1582298740404465,0.05,0.8565234735658378,False
1650,0.7999990304819411,nominal,0.05913089721483601,0.0,0.18942699521102643,0.05,0.9322189744809642,False
1651,0.8219176199651506,nominal,0.0384615528720377,0.0,0.22045387907088532,0.05,0.7791747733510865,False
1652,0.8200305330858024,nominal,0.0303089021923209,0.0,0.2514096032957936,0.05,0.7640688047130574,False
1653,0.8532527030594401,nominal,0.06669383198480415,0.0,0.2821873606058852,0.05,0.4409091121545451,False
1654,0.7945916581231134,nominal,0.03284396342875774,0.0,0.31285528232938226,0.05,0.8475086303588044,False
1655,0.7834026151085764,nominal,0.03934258419147929,0.0,0.34330811701713754,0.05,0.8706674362675084,False
1656,0.7698069417012101,nominal,0.030304857220060526,0.0,0.37362195009484656,0.05,0.9359496931653697,False
1657,0.7678584961625875,nominal,0.043571998951385735,0.0,0.40365187019363685,0.05,0.886787533738925,False
1658,0.7612138073067743,nominal,0.02430232270600633,0.0,0.43347733888328377,0.05,0.9234342949337816,False
1659,0.7590438160689443,nominal,0.10039692222232324,0.0,0.4335976143303313,0.05,0.8109162033960573,False
1660,0.7765899154637761,nominal,0.019629084450394477,0.0,0.433682380302532,0.05,0.8284422490874593,False
1661,0.806638233858431,nominal,0.11143677893231048,0.0,0.4337628570424568,0.05,0.475,False
1662,0.7649184036328476,nominal,0.02911549075859433,0.0,0.43391240795353997,0.05,0.8901349472453061,False
1663,0.7697405704467513,nominal,0.05168719441260878,0.0,0.43399580910240343,0.05,0.8202564608641052,False
1664,0.7532883329853008,nominal,0.0395553601774431,0.0,0.43411413485169237,0.05,0.95,False
