t,effective_alpha,miss_streak,mode
279,0.05,0,aci_clipped
280,0.05,0,aci_clipped
281,0.05,0,aci_clipped
282,0.05,0,aci_clipped
283,0.05,0,aci_clipped
284,0.05,0,aci_clipped
285,0.05,0,aci_clipped
286,0.05,0,aci_clipped
287,0.05,0,aci_clipped
288,0.05,0,aci_clipped
289,0.05,0,aci_clipped
290,0.05,0,aci_clipped
291,0.05,0,aci_clipped
292,0.05,0,aci_clipped
293,0.05,0,aci_clipped
294,0.05,0,aci_clipped
295,0.05,0,aci_clipped
296,0.05,0,aci_clipped
297,0.05,0,aci_clipped
298,0.05,0,aci_clipped
299,0.05,0,aci_clipped
300,0.05,0,aci_clipped
301,0.05,0,aci_clipped
302,0.05,0,aci_clipped
303,0.05,0,aci_clipped
304,0.05,0,aci_clipped
305,0.05,0,aci_clipped
306,0.05,0,aci_clipped
307,0.05,0,aci_clipped
308,0.05,0,aci_clipped
309,0.05,0,aci_clipped
310,0.05,0,aci_clipped
311,0.05,0,aci_clipped
312,0.05,0,aci_clipped
313,0.05,0,aci_clipped
314,0.05,0,aci_clipped
315,0.05,0,aci_clipped
316,0.05,0,aci_clipped
317,0.05,0,aci_clipped
318,0.05,0,aci_clipped
319,0.05,0,aci_clipped
320,0.05,0,aci_clipped
321,0.05,0,aci_clipped
322,0.05,0,aci_clipped
323,0.05,0,aci_clipped
324,0.05,0,aci_clipped
325,0.05,0,aci_clipped
326,0.05,0,aci_clipped
327,0.05,0,aci_clipped
328,0.05,0,aci_clipped
329,0.05,0,aci_clipped
330,0.05,0,aci_clipped
331,0.05,0,aci_clipped
332,0.05,0,aci_clipped
333,0.05,0,aci_clipped
334,0.05,0,aci_clipped
335,0.05,0,aci_clipped
336,0.05,0,aci_clipped
337,0.05,0,aci_clipped
338,0.05,0,aci_clipped
339,0.05,0,aci_clipped
340,0.05,0,aci_clipped
341,0.05,0,aci_clipped
342,0.05,0,aci_clipped
343,0.05,0,aci_clipped
344,0.05,0,aci_clipped
345,0.05,0,aci_clipped
346,0.05,0,aci_clipped
347,0.05,0,aci_clipped
348,0.05,0,aci_clipped
349,0.05,0,aci_clipped
350,0.05,0,aci_clipped
351,0.05,0,aci_clipped
352,0.05,0,aci_clipped
353,0.05,0,aci_clipped
354,0.05,0,aci_clipped
355,0.05,0,aci_clipped
356,0.05,0,aci_clipped
357,0.05,0,aci_clipped
358,0.05,0,aci_clipped
