trace_id,lane,controller,controller_label,fault_family,seed,step_index,reliability_w,widening_factor,drift_score,dispatch_regime,candidate_charge_mw,candidate_discharge_mw,safe_charge_mw,safe_discharge_mw,true_value,observed_value,true_margin,observed_margin,interval_lower,interval_upper,true_constraint_violated,observed_constraint_satisfied,intervened,fallback_used,certificate_valid,certificate_predicted_valid,useful_work,certificate_schema_version,certificate_hash,prev_hash,issuer,domain,action,theorem_contracts
heuristic:nominal:55:dc3s_wrapped:20,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,20,1.0,1.0015271952123983,0.0305439042479665,discharge,0.0,200.0,0.0,200.0,3736.8421052631593,3736.386531200005,3736.8421052631593,3736.386531200005,45446.52562366642,45958.448007658786,False,True,False,False,True,True,1.0,orius.certificate.v1,bb9410318a251ebf7a87d366d255135b1346ea5d364673f6c7f0ec49225846c7,6d45042cf6a15251266963b55c8f90ad8f26b85aef0151981c82b1339e3b4447,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:21,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,21,1.0,1.0001369715721575,0.0027394314431494,discharge,0.0,200.0,0.0,200.0,3526.3157894736855,3526.9456621329637,3526.3157894736855,3526.9456621329637,44752.414774824465,45256.62647530919,False,True,False,False,True,True,1.0,orius.certificate.v1,88e595a4f96324cdc4eac996c8d566703ea3dcb811ea5e0f751795ff7fc61a6d,bb9410318a251ebf7a87d366d255135b1346ea5d364673f6c7f0ec49225846c7,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:22,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,22,1.0,1.0023917759802683,0.047835519605368,discharge,0.0,149.95073654169357,0.0,149.95073654169357,3368.4729089034818,3368.4210526315796,3368.4729089034818,3368.4210526315796,44807.8002862643,45324.52776275353,False,True,False,False,True,True,1.0,orius.certificate.v1,37d781498ab108973b0a0f577701497b481c3d8826fd1385fbc7ca6a80ef3ba9,88e595a4f96324cdc4eac996c8d566703ea3dcb811ea5e0f751795ff7fc61a6d,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 149.95073654169357}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:23,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,23,1.0,1.0035196306122731,0.0703926122454611,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.5987378412683,3368.4729089034818,3368.5987378412683,45882.54216924166,46405.5492525093,False,True,False,False,True,True,1.0,orius.certificate.v1,232cc33c703ba6a4558cb1f13eb8d107c7e89bc654c34a230e0a34b906e40ea5,37d781498ab108973b0a0f577701497b481c3d8826fd1385fbc7ca6a80ef3ba9,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:24,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,24,1.0,1.00341596669202,0.0683193338403966,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.6862740867314,3368.4729089034818,3368.6862740867314,44258.73106504975,44781.16043953871,False,True,False,False,True,True,1.0,orius.certificate.v1,76109cdf97fd13c819d72621787c2ecd745cf7ff0f89c41d23479da8145098e1,232cc33c703ba6a4558cb1f13eb8d107c7e89bc654c34a230e0a34b906e40ea5,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:25,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,25,1.0,1.005774338415076,0.1154867683015242,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.282369164766,3368.4729089034818,3368.282369164766,45772.93271162404,46308.531829371765,False,True,False,False,True,True,1.0,orius.certificate.v1,00de70a2ea82163f2f070737e761131c921e7cabae0d1a2c345b00addb1bd535,76109cdf97fd13c819d72621787c2ecd745cf7ff0f89c41d23479da8145098e1,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:26,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,26,1.0,1.0025906500813662,0.051813001627322,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.8754228661483,3368.4729089034818,3368.8754228661483,48440.36304727369,48958.19687387761,False,True,False,False,True,True,1.0,orius.certificate.v1,1d3463e18c6d5165d3f956e4a906b8bb72f7ae5fa6081c2ba93ce3c8de674997,00de70a2ea82163f2f070737e761131c921e7cabae0d1a2c345b00addb1bd535,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:27,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,27,1.0,1.004188888423602,0.0837777684720366,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3367.9613607894303,3368.4729089034818,3367.9613607894303,49697.53819891666,50224.27759408136,False,True,False,False,True,True,1.0,orius.certificate.v1,07bae01f66c006b763bf57416e2280a70e17e10e029f5a0c9dfcf27dade61126,1d3463e18c6d5165d3f956e4a906b8bb72f7ae5fa6081c2ba93ce3c8de674997,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:28,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,28,1.0,1.002144030669229,0.04288061338458,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.7633277549903,3368.4729089034818,3368.7633277549903,51796.039678912515,52311.38948849115,False,True,False,False,True,True,1.0,orius.certificate.v1,981ab8b3960fa0a87dac20c3df397e925055cc231102ef43e57fcdca701b0c8e,07bae01f66c006b763bf57416e2280a70e17e10e029f5a0c9dfcf27dade61126,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:29,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,29,1.0,1.0038303222575038,0.0766064451500749,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.065492638262,3368.4729089034818,3368.065492638262,52907.39259623985,53432.13178145881,False,True,False,False,True,True,1.0,orius.certificate.v1,944b070a3df309e9312c3b6a6f4b9c44b0a22b06ec7b846ed7f262d64449e928,981ab8b3960fa0a87dac20c3df397e925055cc231102ef43e57fcdca701b0c8e,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:30,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,30,1.0,1.000325688850334,0.0065137770066792,hold,0.0,0.0,0.0,0.0,3368.4729089034818,3368.193884374894,3368.4729089034818,3368.193884374894,54953.706797599625,55458.96405086165,False,True,False,False,True,True,1.0,orius.certificate.v1,10fe847b7d91c182699fdc6191091fd6bf4ca8c7d6fbdbfa6b28761158c4ed0a,944b070a3df309e9312c3b6a6f4b9c44b0a22b06ec7b846ed7f262d64449e928,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
