scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields,region
dropout,33,dc3s_wrapped,dc3s_wrapped,193126143.040491,1352808642.855460,-0.004584,0.997866,0.000000,967.066428,0.976190,0.952381,967.066428,973.721253,0.000000,,,0.964286,948.870247,0.964286,948.870247,0.857143,948.870247,123.764527,490.785363,0.928571,0.928571,967.066428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005514,10000.000000,0.000000,0.047619,0.047619,0.000000,1.000000,0.000000,DE
dropout,33,deterministic_lp,deterministic_lp,193134996.795578,1352829986.563246,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,0.964286,948.870247,0.964286,948.870247,0.857143,948.870247,123.764527,490.785363,0.928571,0.928571,951.890877,0.154762,644.958517,1.000000,0.000000,0.154762,13.000000,49.612194,311.481008,49.612194,311.481008,-311.481008,10000.000000,2.769231,0.154762,0.000000,0.000000,0.000000,336.000000,DE
dropout,33,robust_fixed_interval,robust_fixed_interval,193126112.950613,1352808477.506498,-0.004600,1.000000,0.000000,11989.455575,0.821429,1.000000,11989.455575,13675.985218,0.000000,,,0.964286,948.870247,0.964286,948.870247,0.857143,948.870247,123.764527,490.785363,1.000000,1.000000,11989.455575,0.202381,7.030359,0.000000,0.000000,0.202381,17.000000,0.413551,0.417771,0.413551,0.417771,-0.417771,10000.000000,9.000000,0.202381,0.000000,0.000000,0.000000,336.000000,DE
nominal,11,cvar_interval,cvar_interval,192712776.968431,1347321730.142499,-0.004709,1.000000,0.000000,951.890877,0.869048,1.000000,951.890877,948.870247,0.000000,107713334.170589,107738242.214321,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.190476,2.190499,0.000000,0.000000,0.190476,16.000000,0.136906,0.272948,0.136906,0.272948,-0.272948,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000,DE
nominal,11,dc3s_wrapped,dc3s_wrapped,192774908.747769,1347328542.370707,0.027530,0.999693,0.000000,952.124159,1.000000,0.940476,952.124159,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,952.124159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088166,10000.000000,0.000000,0.059524,0.059524,0.000000,1.000000,0.000000,DE
nominal,11,deterministic_lp,deterministic_lp,192721851.947759,1347343336.738146,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.107143,317.832565,0.000000,0.000000,0.107143,9.000000,35.314729,186.004768,35.314729,186.004768,-297.811534,10000.000000,3.000000,0.107143,0.000000,0.000000,0.000000,336.000000,DE
nominal,11,robust_fixed_interval,robust_fixed_interval,192712776.968431,1347321730.142499,-0.004709,1.000000,0.000000,11996.964918,0.869048,1.000000,11996.964918,13708.540570,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,11996.964918,0.190476,2.190499,0.000000,0.000000,0.190476,16.000000,0.136906,0.272948,0.136906,0.272948,-0.272948,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000,DE
nominal,22,cvar_interval,cvar_interval,192272063.844697,1350564279.100740,-0.003279,1.000000,0.000000,951.890877,0.702381,1.000000,951.890877,948.870247,0.000000,116057051.444961,116089204.187639,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.190476,0.284666,0.000000,0.000000,0.190476,16.000000,0.017792,0.068803,0.017792,0.068803,-0.068803,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000,DE
nominal,22,dc3s_wrapped,dc3s_wrapped,192272072.684761,1350564338.392768,-0.003274,0.999353,0.000000,952.382253,0.738095,0.976190,952.382253,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,952.382253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089853,10000.000000,0.000000,0.023810,0.023810,0.000000,1.000000,0.000000,DE
nominal,22,deterministic_lp,deterministic_lp,192278368.139345,1350591503.314968,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.095238,331.631761,0.000000,0.000000,0.095238,8.000000,41.453970,208.668880,41.453970,208.668880,-310.854372,10191.869412,2.875000,0.095238,0.000000,0.000000,0.000000,336.000000,DE
