scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields,alpha0,ph_lambda,kappa_drift_penalty,horizon,seeds,run_dir
dropout,22,deterministic_lp,deterministic_lp,389077600.346967,2706447066.862529,0.0,1.0,0.0,503.130805,1.0,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.910714,503.45306,0.910714,503.45306,112.457842,436.050826,0.922619,0.922619,503.130805,48.809063,56.228921,69.487609,58.175197,2365.933425,0.065476,652.774645,0.153846,0.0,0.065476,11.0,59.34315,305.907019,59.34315,305.907019,-311.735766,10000.0,2.181818,0.065476,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,22,robust_fixed_interval,robust_fixed_interval,389029675.419802,2706141079.149969,-0.012318,1.0,0.0,503.130805,0.625,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.910714,503.45306,0.910714,503.45306,112.457842,436.050826,0.922619,0.922619,503.130805,48.809063,56.228921,69.487609,58.175197,2365.933425,0.595238,13.483599,0.0,0.0,0.595238,100.0,0.134836,0.191067,0.134836,0.191067,-0.299378,10000.0,50.5,0.595238,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,22,scenario_mpc,scenario_mpc,389029691.052431,2706141193.201553,-0.012314,1.0,0.0,8001.004818,1.0,1.0,8001.004818,9231.924205,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.910714,503.45306,0.910714,503.45306,112.457842,436.050826,1.0,1.0,8001.004818,201.24822,56.228921,198.802021,152.093054,8001.004818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,22,scenario_robust,scenario_robust,389029691.052431,2706141193.201553,-0.012314,1.0,0.0,1790.019396,1.0,1.0,1790.019396,2308.643431,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.910714,503.45306,0.910714,503.45306,112.457842,436.050826,0.928571,0.934524,1790.019396,59.288049,111.146163,79.091275,83.175162,2767.586478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,aci_conformal,aci_conformal,388542330.648112,2698241132.902094,0.026164,1.0,0.0,99.927286,1.0,1.0,99.927286,99.9833,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.922619,0.922619,99.927286,60.44294,42.096099,24.880139,42.47306,1706.461597,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14369.012911,0.0,0.017857,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,cvar_interval,cvar_interval,388389670.782738,2696696338.477388,-0.013137,1.0,0.0,503.130805,0.75,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,242397374.975926,242419300.712603,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.928571,0.928571,503.130805,60.914729,42.096099,29.976585,44.329138,1817.826295,0.303571,11.399007,0.0,0.0,0.303571,51.0,0.22351,0.22351,0.22351,0.22351,-0.22351,10000.0,26.0,0.303571,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,dc3s_ftit,dc3s_ftit,388489840.945001,2697348065.633368,0.012651,0.944968,37.093699,913.846938,1.0,1.0,913.846938,1575.504854,0.0,0.023573,0.051847,1.0,1.0,2.99613,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.946429,0.946429,913.846938,51.019888,42.096099,33.880913,42.3323,1698.016024,0.0,0.0,0.0,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,1693.318615,10000.0,0.0,0.017857,0.0,0.0,1.0,0.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,dc3s_wrapped,dc3s_wrapped,388447437.465355,2696719839.03934,0.001735,0.999476,0.0,525.056737,1.0,0.982143,525.056737,552.726171,0.0,0.023573,0.051847,1.02394,1.053573,1.018963,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.928571,0.928571,525.056737,60.513177,42.096099,30.13855,44.249275,1813.03454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103067,10000.0,0.0,0.017857,0.017857,0.0,1.0,0.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,deterministic_lp,deterministic_lp,388440698.914723,2697210709.117955,0.0,1.0,0.0,503.130805,1.0,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.928571,0.928571,503.130805,60.914729,42.096099,29.976585,44.329138,1817.826295,0.017857,78.658228,0.0,0.0,0.017857,3.0,26.219409,66.983374,26.219409,66.983374,-73.933771,10000.0,2.0,0.017857,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,robust_fixed_interval,robust_fixed_interval,388389670.782738,2696696338.477388,-0.013137,1.0,0.0,503.130805,0.75,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.928571,0.928571,503.130805,60.914729,42.096099,29.976585,44.329138,1817.826295,0.303571,11.399007,0.0,0.0,0.303571,51.0,0.22351,0.22351,0.22351,0.22351,-0.22351,10000.0,26.0,0.303571,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,scenario_mpc,scenario_mpc,388389684.002975,2696696424.490899,-0.013133,1.0,0.0,8003.512617,1.0,1.0,8003.512617,9199.01544,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,1.0,1.0,8003.512617,198.062556,42.096099,202.113075,147.42391,8003.512617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
dropout,33,scenario_robust,scenario_robust,388389684.002975,2696696424.490899,-0.013133,1.0,0.0,1365.150336,1.0,1.0,1365.150336,1748.113965,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.946429,503.45306,0.982143,503.45306,0.857143,503.45306,84.192198,341.62412,0.940476,0.940476,1365.150336,61.29587,85.642308,43.440871,63.459683,2094.734809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,672.0,0.1,5.0,0.7,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=5__kpen=0.7
drift_combo,11,aci_conformal,aci_conformal,415712615.966999,2882064677.798017,0.02574,1.0,0.0,16578.654772,1.0,1.0,16578.654772,16578.715929,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.642857,503.45306,0.446429,503.45306,0.160714,503.45306,3484.117103,6002.81155,0.89881,0.958333,16578.654772,999.786186,1742.058552,356.311505,1032.718748,27121.953821,0.0,0.0,0.0,0.017857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.017857,0.0,0.0,0.0,672.0,0.1,7.0,0.3,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=7__kpen=0.3
drift_combo,11,cvar_interval,cvar_interval,415506400.761509,2880252027.973832,-0.023878,1.0,0.0,503.130805,0.922619,1.0,503.130805,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,227226365.870859,227243784.899173,0.642857,503.45306,0.446429,503.45306,0.160714,503.45306,3484.117103,6002.81155,0.416667,0.416667,503.130805,995.219668,1742.058552,2367.374628,1701.550949,67251.885907,0.017857,1.011998,0.0,0.0,0.017857,3.0,0.337333,0.337333,0.337333,0.337333,-0.337333,10000.0,2.0,0.017857,0.0,0.0,0.0,672.0,0.1,7.0,0.3,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=7__kpen=0.3
drift_combo,11,dc3s_ftit,dc3s_ftit,416086390.334708,2883982725.643552,0.115675,0.558621,247.838744,13958.235368,1.0,1.0,13958.235368,20519.873651,0.0,0.051912,0.305118,1.0,1.0,45.763337,0.0,0.0,0.642857,503.45306,0.446429,503.45306,0.160714,503.45306,3484.117103,6002.81155,0.940476,0.958333,13958.235368,957.452554,1742.058552,283.979382,994.496829,24828.638721,0.0,0.0,0.0,0.053571,0.0,0.0,0.0,0.0,0.0,0.0,9738.499438,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,7.0,0.3,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=7__kpen=0.3
drift_combo,11,dc3s_wrapped,dc3s_wrapped,415506421.190756,2880252170.376301,-0.023873,0.840044,0.0,638.912137,0.934524,0.982143,638.912137,1053.403601,0.0,0.051912,0.305118,1.162618,1.691582,1.07251,0.0,0.0,0.642857,503.45306,0.446429,503.45306,0.160714,503.45306,3484.117103,6002.81155,0.416667,0.416667,638.912137,986.804363,1742.058552,2337.151441,1688.671452,66479.116095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029306,10000.0,0.0,0.017857,0.017857,0.0,1.0,0.0,0.1,7.0,0.3,168,"11,22,33",reports/publication/sweeps/runs/alpha0=0.1__ph_lambda=7__kpen=0.3
