transfer_case,sweep_type,sweep_value,scenario,seed,controller,picp_90,mean_width,true_soc_violation_rate,true_soc_violation_severity_p95_mwh,cost_delta_pct
DE_to_US_no_retrain,dropout,0.1,dropout,33,scenario_mpc,1.000000,9437.466827,0.000000,0.000000,-0.016503
DE_to_US_no_retrain,dropout,0.2,dropout,11,deterministic_lp,0.822917,502.889113,0.041667,268.415945,0.000000
DE_to_US_no_retrain,dropout,0.2,dropout,11,robust_fixed_interval,0.822917,502.889113,0.218750,0.447392,-0.002213
DE_to_US_no_retrain,dropout,0.2,dropout,11,cvar_interval,0.822917,502.889113,0.218750,0.447392,-0.002213
DE_to_US_no_retrain,dropout,0.2,dropout,11,dc3s_wrapped,0.822917,526.323953,0.000000,0.000000,0.002103
DE_to_US_no_retrain,dropout,0.2,dropout,11,dc3s_ftit,0.854167,2247.869750,0.000000,0.000000,0.086115
DE_to_US_no_retrain,dropout,0.2,dropout,11,aci_conformal,0.895833,3507.793819,0.000000,0.000000,0.023378
DE_to_US_no_retrain,dropout,0.2,dropout,11,scenario_robust,0.916667,4302.600481,0.000000,0.000000,-0.002203
DE_to_US_no_retrain,dropout,0.2,dropout,11,scenario_mpc,0.979167,9426.390322,0.000000,0.000000,-0.002203
DE_to_US_no_retrain,dropout,0.2,dropout,22,deterministic_lp,0.843750,502.889113,0.031250,301.510713,0.000000
DE_to_US_no_retrain,dropout,0.2,dropout,22,robust_fixed_interval,0.843750,502.889113,0.218750,0.060862,-0.014610
DE_to_US_no_retrain,dropout,0.2,dropout,22,cvar_interval,0.843750,502.889113,0.218750,0.060862,-0.014610
DE_to_US_no_retrain,dropout,0.2,dropout,22,dc3s_wrapped,0.843750,523.450931,0.000000,0.000000,-0.008236
DE_to_US_no_retrain,dropout,0.2,dropout,22,dc3s_ftit,0.885417,1688.377792,0.000000,0.000000,0.081088
DE_to_US_no_retrain,dropout,0.2,dropout,22,aci_conformal,0.895833,1814.588793,0.000000,0.000000,0.024443
DE_to_US_no_retrain,dropout,0.2,dropout,22,scenario_robust,0.916667,2659.967516,0.000000,0.000000,-0.014609
DE_to_US_no_retrain,dropout,0.2,dropout,22,scenario_mpc,1.000000,9427.641309,0.000000,0.000000,-0.014609
DE_to_US_no_retrain,dropout,0.2,dropout,33,deterministic_lp,0.822917,502.889113,0.114583,152.784234,0.000000
DE_to_US_no_retrain,dropout,0.2,dropout,33,robust_fixed_interval,0.822917,502.889113,0.260417,0.353961,-0.019531
DE_to_US_no_retrain,dropout,0.2,dropout,33,cvar_interval,0.822917,502.889113,0.260417,0.353961,-0.019531
