scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
delay_jitter,33,deterministic_lp,deterministic_lp,388687736.494926,2698552819.485806,0.000000,1.000000,0.000000,503.130805,1.000000,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.005952,0.302477,0.000000,0.000000,0.005952,1.000000,0.302477,0.302477,0.302477,0.302477,-0.302477,5000.000000,1.000000,0.005952,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,robust_fixed_interval,robust_fixed_interval,388687681.534265,2698554035.434761,-0.000014,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.011905,0.604954,0.000000,0.000000,0.011905,2.000000,0.302477,0.302477,0.302477,0.302477,-0.302477,5000.000000,1.500000,0.011905,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,scenario_mpc,scenario_mpc,388687692.247004,2698554149.540585,-0.000011,1.000000,0.000000,7997.031785,1.000000,1.000000,7997.031785,9199.015440,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,7997.031785,199.925795,0.000000,199.925795,133.283863,7997.031785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,scenario_robust,scenario_robust,388687692.247004,2698554149.540585,-0.000011,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,aci_conformal,aci_conformal,391248794.614900,2710107184.279669,-0.000031,1.000000,0.000000,99.833000,1.000000,1.000000,99.833000,99.983300,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,99.833000,2.495825,0.000000,2.495825,1.663883,99.833000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,cvar_interval,cvar_interval,391248785.607503,2710107123.190451,-0.000033,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,199770349.066088,199785394.059424,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.459770,0.000000,0.000000,0.017857,3.000000,0.153257,0.153257,0.153257,0.153257,-0.153257,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,dc3s_ftit,dc3s_ftit,391265395.869815,2710215105.810116,0.004212,0.702783,3.112429,375.189557,1.000000,1.000000,375.189557,376.664948,0.000000,0.023754,0.051242,1.000000,1.000000,1.001572,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,375.189557,9.379739,0.000000,9.379739,6.253159,375.189557,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,275.015619,5000.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
delay_jitter,44,dc3s_wrapped,dc3s_wrapped,391251565.411753,2710109471.073906,0.000677,0.998437,0.000000,517.271103,1.000000,0.994048,517.271103,532.780348,0.000000,0.023754,0.051242,1.024848,1.052345,1.003157,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,517.271103,12.931778,0.000000,12.931778,8.621185,517.271103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124775,5000.000000,0.000000,0.005952,0.005952,0.000000,1.000000,0.000000
delay_jitter,44,deterministic_lp,deterministic_lp,391248916.661984,2710103847.540386,0.000000,1.000000,0.000000,503.130805,1.000000,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124775,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,robust_fixed_interval,robust_fixed_interval,391248785.607503,2710107123.190451,-0.000033,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.459770,0.000000,0.000000,0.017857,3.000000,0.153257,0.153257,0.153257,0.153257,-0.153257,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,scenario_mpc,scenario_mpc,391248794.614900,2710107184.279669,-0.000031,1.000000,0.000000,8006.786683,1.000000,1.000000,8006.786683,9206.345132,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,8006.786683,200.169667,0.000000,200.169667,133.446445,8006.786683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,44,scenario_robust,scenario_robust,391248794.614900,2710107184.279669,-0.000031,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,aci_conformal,aci_conformal,390611500.992816,2709527355.676692,-0.000007,1.000000,0.000000,99.833000,1.000000,1.000000,99.833000,99.983300,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,99.833000,2.495825,0.000000,2.495825,1.663883,99.833000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,cvar_interval,cvar_interval,390611490.931547,2709527285.104065,-0.000010,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,199036301.875279,199054717.637523,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.477064,0.000000,0.000000,0.017857,3.000000,0.159021,0.175391,0.159021,0.175391,-0.178279,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,dc3s_ftit,dc3s_ftit,390629204.550253,2709642635.121597,0.004525,0.673476,4.034441,375.198400,1.000000,1.000000,375.198400,376.718956,0.000000,0.023887,0.051447,1.000000,1.000000,1.001595,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,375.198400,9.379960,0.000000,9.379960,6.253307,375.198400,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.257060,5000.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
delay_jitter,55,dc3s_wrapped,dc3s_wrapped,390624216.799795,2709610571.753213,0.003248,0.999114,0.000000,516.932857,1.000000,0.982143,516.932857,532.166909,0.000000,0.023887,0.051447,1.024508,1.051447,1.002832,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,516.932857,12.923321,0.000000,12.923321,8.615548,516.932857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,210.376924,5000.000000,0.000000,0.017857,0.017857,0.000000,1.000000,0.000000
delay_jitter,55,deterministic_lp,deterministic_lp,390611529.697331,2709526229.977808,0.000000,1.000000,0.000000,503.130805,1.000000,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.274874,0.000000,0.000000,0.017857,3.000000,0.091625,0.169259,0.091625,0.169259,-0.178279,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,robust_fixed_interval,robust_fixed_interval,390611490.931547,2709527285.104065,-0.000010,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.477064,0.000000,0.000000,0.017857,3.000000,0.159021,0.175391,0.159021,0.175391,-0.178279,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,scenario_mpc,scenario_mpc,390611500.992816,2709527355.676692,-0.000007,1.000000,0.000000,8005.537820,1.000000,1.000000,8005.537820,9200.788208,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,8005.537820,200.138446,0.000000,200.138446,133.425630,8005.537820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,55,scenario_robust,scenario_robust,390611500.992816,2709527355.676692,-0.000007,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
