t,validity_score,validity_status,normalized_residual,subgroup_gap,drift_score,adaptation_instability,reliability_interaction,shift_alert_flag
7962,0.8138978061161244,nominal,0.016092609752353895,0.0,0.16039520722893572,0.05,0.95,False
7963,0.8115626828029912,nominal,0.025511830676933498,0.0,0.16029679763887658,0.05,0.95,False
7964,0.8109927395717813,nominal,0.027681777829547997,0.0,0.1604340798541584,0.05,0.95,False
7965,0.8107331789788073,nominal,0.02859022107732045,0.0,0.16059632875931315,0.05,0.95,False
7966,0.8120604552707527,nominal,0.023017678477825508,0.0,0.16092562554895418,0.05,0.95,False
7967,0.7877663998325701,nominal,0.11972763011457287,0.0,0.16150846319393286,0.05,0.95,False
7968,0.713261056909039,watch,0.29029354175961875,0.0,0.32082778825528163,0.05,0.95,False
7969,0.7275715721075058,watch,0.10529624733162574,0.0,0.4805218302979393,0.05,0.95,False
7970,0.7366846517268031,watch,0.05326139309278708,0.0,0.5,0.05,0.95,False
7971,0.7283690848568352,watch,0.0865236605726595,0.0,0.5,0.05,0.95,False
7972,0.7364137305612111,watch,0.05434507775515549,0.0,0.5,0.05,0.95,False
7973,0.7494387284480566,watch,0.0022450862077738804,0.0,0.5,0.05,0.95,False
7974,0.7474458592629738,watch,0.010216562948104748,0.0,0.5,0.05,0.95,False
7975,0.7455868982079394,watch,0.017652407168242176,0.0,0.5,0.05,0.95,False
7976,0.7260527768349692,watch,0.09578889266012354,0.0,0.5,0.05,0.95,False
7977,0.7147612601712707,watch,0.1409549593149167,0.0,0.5,0.05,0.95,False
7978,0.7132989077779932,watch,0.14680436888802711,0.0,0.5,0.05,0.95,False
7979,0.7030761283701592,watch,0.1876954865193631,0.0,0.5,0.05,0.95,False
7980,0.6945739162124804,watch,0.22170433515007837,0.0,0.5,0.05,0.95,False
7981,0.72599229082061,watch,0.0960308367175594,0.0,0.5,0.05,0.95,False
7982,0.7278236425927449,watch,0.08870542962902019,0.0,0.5,0.05,0.95,False
7983,0.7201753481358601,watch,0.11929860745655925,0.0,0.5,0.05,0.95,False
7984,0.73470178767267,watch,0.06119284930932014,0.0,0.5,0.05,0.95,False
7985,0.7276881566233873,watch,0.089247373506451,0.0,0.5,0.05,0.95,False
7986,0.7424179769597035,watch,0.030328092161185677,0.0,0.5,0.05,0.95,False
7987,0.7360554665353642,watch,0.055778133858542724,0.0,0.5,0.05,0.95,False
7988,0.7357280832672184,watch,0.057087666931126345,0.0,0.5,0.05,0.95,False
7989,0.7171535902952428,watch,0.1313856388190287,0.0,0.5,0.05,0.95,False
7990,0.7133847761765915,watch,0.14646089529363426,0.0,0.5,0.05,0.95,False
7991,0.6786655816988307,watch,0.2853376732046768,0.0,0.5,0.05,0.95,False
7992,0.6830369122257698,watch,0.26785235109692035,0.0,0.5,0.05,0.95,False
7993,0.6754601109755465,watch,0.29815955609781425,0.0,0.5,0.05,0.95,False
7994,0.673959363603843,watch,0.30416254558462824,0.0,0.5,0.05,0.95,False
7995,0.8706882884056021,nominal,0.1122468463775916,0.0,0.0,0.05,0.625,False
7996,0.8737628909614276,nominal,0.09994843615428967,0.0,0.0,0.05,0.625,False
7997,0.8748755628709458,nominal,0.09549774851621669,0.0,0.0,0.05,0.625,False
7998,0.8773089874409794,nominal,0.08576405023608248,0.0,0.0,0.05,0.625,False
7999,0.8842364591916301,nominal,0.05805416323347998,0.0,0.0,0.05,0.625,False
8000,0.880320719271042,nominal,0.07371712291583156,0.0,0.0,0.05,0.625,False
8001,0.8824265058210226,nominal,0.0652939767159101,0.0,0.0,0.05,0.625,False
8002,0.8817988872472423,nominal,0.06780445101103078,0.0,0.0,0.05,0.625,False
8003,0.8832938038939068,nominal,0.0618247844243729,0.0,0.0,0.05,0.625,False
8004,0.8815709739171702,nominal,0.06871610433131914,0.0,0.0,0.05,0.625,False
8005,0.8812886271516298,nominal,0.06984549139348069,0.0,0.0,0.05,0.625,False
8006,0.8800406302050595,nominal,0.07483747917976194,0.0,0.0,0.05,0.625,False
8007,0.8804059243906059,nominal,0.07337630243757653,0.0,0.0,0.05,0.625,False
8008,0.8712685813152863,nominal,0.10992567473885477,0.0,0.0,0.05,0.625,False
8009,0.8815469204555635,nominal,0.06881231817774576,0.0,0.0,0.05,0.625,False
8010,0.8839673971786886,nominal,0.05913041128524564,0.0,0.0,0.05,0.625,False
8011,0.8853628245678777,nominal,0.0535487017284888,0.0,0.0,0.05,0.625,False
8012,0.8848439775071547,nominal,0.05562408997138108,0.0,0.0,0.05,0.625,False
8013,0.8853184602784281,nominal,0.05372615888628794,0.0,0.0,0.05,0.625,False
8014,0.8637265357510029,nominal,0.14009385699598823,0.0,0.0,0.05,0.625,False
8015,0.890222496322588,nominal,0.0341100147096478,0.0,0.0,0.05,0.625,False
8016,0.8891747071759484,nominal,0.038301171296206554,0.0,0.0,0.05,0.625,False
8017,0.8639063743491044,nominal,0.139374502603582,0.0,0.0,0.05,0.625,False
8018,0.8896683409699596,nominal,0.03632663612016154,0.0,0.0,0.05,0.625,False
8019,0.8973821259768358,nominal,0.005471496092656813,0.0,0.0,0.05,0.625,False
8020,0.8538002221983307,nominal,0.17979911120667685,0.0,0.0,0.05,0.625,False
8021,0.8984604372305506,nominal,0.001158251077797652,0.0,0.0,0.05,0.625,False
8022,0.8985141560456158,nominal,0.0009433758175368828,0.0,0.0,0.05,0.625,False
8023,0.8977752515231812,nominal,0.0038989939072756187,0.0,0.0,0.05,0.625,False
8024,0.8964438754003359,nominal,0.00922449839865646,0.0,0.0,0.05,0.625,False
8025,0.8499462908196389,nominal,0.19521483672144452,0.0,0.0,0.05,0.625,False
8026,0.8500287731605911,nominal,0.19488490735763575,0.0,0.0,0.05,0.625,False
8027,0.8907826580008935,nominal,0.03186936799642572,0.0,0.0,0.05,0.625,False
8028,0.8879257857710341,nominal,0.04329685691586369,0.0,0.0,0.05,0.625,False
8029,0.8918227466157505,nominal,0.027709013536998492,0.0,0.0,0.05,0.625,False
8030,0.893227084009639,nominal,0.022091663961443842,0.0,0.0,0.05,0.625,False
8031,0.8867313173237751,nominal,0.048074730704899635,0.0,0.0,0.05,0.625,False
8032,0.8887772511594245,nominal,0.039890995362301736,0.0,0.0,0.05,0.625,False
8033,0.8883663375164248,nominal,0.04153464993430097,0.0,0.0,0.05,0.625,False
8034,0.886807142672418,nominal,0.04777142931032766,0.0,0.0,0.05,0.625,False
8035,0.8858709522299135,nominal,0.05151619108034587,0.0,0.0,0.05,0.625,False
8036,0.9056114836534848,nominal,0.26936717790343434,0.0,0.09773360935328296,0.05,0.0,False
8037,0.7761657656285641,nominal,0.21732391880780083,0.0,0.09751627334742809,0.05,0.95,False
8038,0.7766997719369567,nominal,0.24905546955076893,0.0,0.09733560198026103,0.05,0.8937949351953248,False
8039,0.8363469074233224,nominal,0.06195555303118659,0.0,0.09723237046403672,0.05,0.8081182015071573,False
8040,0.8114082203860591,nominal,0.07668364239863147,0.0,0.09710434507141465,0.05,0.95,False
