scenario,controller,fault_type,true_soc_violation_rate_at_fault,fault_count
dropout,deterministic_lp,stale_sensor,0.0,0.0
dropout,robust_fixed_interval,covariate_drift,0.0,0.0
dropout,robust_fixed_interval,delay_jitter,0.0,0.0
dropout,robust_fixed_interval,dropout,0.338462,13.0
dropout,robust_fixed_interval,label_drift,0.0,0.0
dropout,robust_fixed_interval,out_of_order,0.0,0.0
dropout,robust_fixed_interval,spikes,0.0,0.0
dropout,robust_fixed_interval,stale_sensor,0.0,0.0
dropout,scenario_mpc,covariate_drift,0.0,0.0
dropout,scenario_mpc,delay_jitter,0.0,0.0
dropout,scenario_mpc,dropout,0.0,13.0
dropout,scenario_mpc,label_drift,0.0,0.0
dropout,scenario_mpc,out_of_order,0.0,0.0
dropout,scenario_mpc,spikes,0.0,0.0
dropout,scenario_mpc,stale_sensor,0.0,0.0
dropout,scenario_robust,covariate_drift,0.0,0.0
dropout,scenario_robust,delay_jitter,0.0,0.0
dropout,scenario_robust,dropout,0.0,13.0
dropout,scenario_robust,label_drift,0.0,0.0
dropout,scenario_robust,out_of_order,0.0,0.0
dropout,scenario_robust,spikes,0.0,0.0
dropout,scenario_robust,stale_sensor,0.0,0.0
nominal,aci_conformal,covariate_drift,0.0,0.0
nominal,aci_conformal,delay_jitter,0.0,0.0
nominal,aci_conformal,dropout,0.0,0.0
nominal,aci_conformal,label_drift,0.0,0.0
nominal,aci_conformal,out_of_order,0.0,0.0
nominal,aci_conformal,spikes,0.0,0.0
nominal,aci_conformal,stale_sensor,0.0,0.0
nominal,cvar_interval,covariate_drift,0.0,0.0
nominal,cvar_interval,delay_jitter,0.0,0.0
nominal,cvar_interval,dropout,0.0,0.0
nominal,cvar_interval,label_drift,0.0,0.0
nominal,cvar_interval,out_of_order,0.0,0.0
nominal,cvar_interval,spikes,0.0,0.0
nominal,cvar_interval,stale_sensor,0.0,0.0
nominal,dc3s_ftit,covariate_drift,0.0,0.0
nominal,dc3s_ftit,delay_jitter,0.0,0.0
nominal,dc3s_ftit,dropout,0.0,0.0
nominal,dc3s_ftit,label_drift,0.0,0.0
nominal,dc3s_ftit,out_of_order,0.0,0.0
nominal,dc3s_ftit,spikes,0.0,0.0
nominal,dc3s_ftit,stale_sensor,0.0,0.0
nominal,dc3s_wrapped,covariate_drift,0.0,0.0
nominal,dc3s_wrapped,delay_jitter,0.0,0.0
nominal,dc3s_wrapped,dropout,0.0,0.0
nominal,dc3s_wrapped,label_drift,0.0,0.0
nominal,dc3s_wrapped,out_of_order,0.0,0.0
nominal,dc3s_wrapped,spikes,0.0,0.0
nominal,dc3s_wrapped,stale_sensor,0.0,0.0
nominal,deterministic_lp,covariate_drift,0.0,0.0
nominal,deterministic_lp,delay_jitter,0.0,0.0
nominal,deterministic_lp,dropout,0.0,0.0
nominal,deterministic_lp,label_drift,0.0,0.0
nominal,deterministic_lp,out_of_order,0.0,0.0
nominal,deterministic_lp,spikes,0.0,0.0
nominal,deterministic_lp,stale_sensor,0.0,0.0
nominal,robust_fixed_interval,covariate_drift,0.0,0.0
nominal,robust_fixed_interval,delay_jitter,0.0,0.0
nominal,robust_fixed_interval,dropout,0.0,0.0
nominal,robust_fixed_interval,label_drift,0.0,0.0
nominal,robust_fixed_interval,out_of_order,0.0,0.0
nominal,robust_fixed_interval,spikes,0.0,0.0
nominal,robust_fixed_interval,stale_sensor,0.0,0.0
nominal,scenario_mpc,covariate_drift,0.0,0.0
nominal,scenario_mpc,delay_jitter,0.0,0.0
nominal,scenario_mpc,dropout,0.0,0.0
nominal,scenario_mpc,label_drift,0.0,0.0
nominal,scenario_mpc,out_of_order,0.0,0.0
nominal,scenario_mpc,spikes,0.0,0.0
nominal,scenario_mpc,stale_sensor,0.0,0.0
nominal,scenario_robust,covariate_drift,0.0,0.0
nominal,scenario_robust,delay_jitter,0.0,0.0
nominal,scenario_robust,dropout,0.0,0.0
nominal,scenario_robust,label_drift,0.0,0.0
nominal,scenario_robust,out_of_order,0.0,0.0
nominal,scenario_robust,spikes,0.0,0.0
nominal,scenario_robust,stale_sensor,0.0,0.0
out_of_order,aci_conformal,covariate_drift,0.0,0.0
out_of_order,aci_conformal,delay_jitter,0.0,0.0
out_of_order,aci_conformal,dropout,0.0,0.0
out_of_order,aci_conformal,label_drift,0.0,0.0
out_of_order,aci_conformal,out_of_order,0.0,16.0
out_of_order,aci_conformal,spikes,0.0,0.0
out_of_order,aci_conformal,stale_sensor,0.0,0.0
out_of_order,cvar_interval,covariate_drift,0.0,0.0
out_of_order,cvar_interval,delay_jitter,0.0,0.0
out_of_order,cvar_interval,dropout,0.0,0.0
out_of_order,cvar_interval,label_drift,0.0,0.0
out_of_order,cvar_interval,out_of_order,0.3,16.0
out_of_order,cvar_interval,spikes,0.0,0.0
out_of_order,cvar_interval,stale_sensor,0.0,0.0
out_of_order,dc3s_ftit,covariate_drift,0.0,0.0
out_of_order,dc3s_ftit,delay_jitter,0.0,0.0
out_of_order,dc3s_ftit,dropout,0.0,0.0
out_of_order,dc3s_ftit,label_drift,0.0,0.0
out_of_order,dc3s_ftit,out_of_order,0.0,16.0
out_of_order,dc3s_ftit,spikes,0.0,0.0
out_of_order,dc3s_ftit,stale_sensor,0.0,0.0
out_of_order,dc3s_wrapped,covariate_drift,0.0,0.0
out_of_order,dc3s_wrapped,delay_jitter,0.0,0.0
out_of_order,dc3s_wrapped,dropout,0.0,0.0
out_of_order,dc3s_wrapped,label_drift,0.0,0.0
out_of_order,dc3s_wrapped,out_of_order,0.0,16.0
out_of_order,dc3s_wrapped,spikes,0.0,0.0
out_of_order,dc3s_wrapped,stale_sensor,0.0,0.0
out_of_order,deterministic_lp,covariate_drift,0.0,0.0
out_of_order,deterministic_lp,delay_jitter,0.0,0.0
out_of_order,deterministic_lp,dropout,0.0,0.0
out_of_order,deterministic_lp,label_drift,0.0,0.0
out_of_order,deterministic_lp,out_of_order,0.05,16.0
out_of_order,deterministic_lp,spikes,0.0,0.0
out_of_order,deterministic_lp,stale_sensor,0.0,0.0
out_of_order,robust_fixed_interval,covariate_drift,0.0,0.0
out_of_order,robust_fixed_interval,delay_jitter,0.0,0.0
out_of_order,robust_fixed_interval,dropout,0.0,0.0
out_of_order,robust_fixed_interval,label_drift,0.0,0.0
out_of_order,robust_fixed_interval,out_of_order,0.3,16.0
out_of_order,robust_fixed_interval,spikes,0.0,0.0
out_of_order,robust_fixed_interval,stale_sensor,0.0,0.0
out_of_order,scenario_mpc,covariate_drift,0.0,0.0
out_of_order,scenario_mpc,delay_jitter,0.0,0.0
out_of_order,scenario_mpc,dropout,0.0,0.0
out_of_order,scenario_mpc,label_drift,0.0,0.0
out_of_order,scenario_mpc,out_of_order,0.0,16.0
out_of_order,scenario_mpc,spikes,0.0,0.0
out_of_order,scenario_mpc,stale_sensor,0.0,0.0
out_of_order,scenario_robust,covariate_drift,0.0,0.0
out_of_order,scenario_robust,delay_jitter,0.0,0.0
out_of_order,scenario_robust,dropout,0.0,0.0
out_of_order,scenario_robust,label_drift,0.0,0.0
out_of_order,scenario_robust,out_of_order,0.0,16.0
out_of_order,scenario_robust,spikes,0.0,0.0
out_of_order,scenario_robust,stale_sensor,0.0,0.0
spikes,aci_conformal,covariate_drift,0.0,0.0
spikes,aci_conformal,delay_jitter,0.0,0.0
spikes,aci_conformal,dropout,0.0,0.0
spikes,aci_conformal,label_drift,0.0,0.0
spikes,aci_conformal,out_of_order,0.0,0.0
spikes,aci_conformal,spikes,0.0,8.0
spikes,aci_conformal,stale_sensor,0.0,0.0
spikes,cvar_interval,covariate_drift,0.0,0.0
spikes,cvar_interval,delay_jitter,0.0,0.0
spikes,cvar_interval,dropout,0.0,0.0
spikes,cvar_interval,label_drift,0.0,0.0
spikes,cvar_interval,out_of_order,0.0,0.0
spikes,cvar_interval,spikes,0.225,8.0
spikes,cvar_interval,stale_sensor,0.0,0.0
spikes,dc3s_ftit,covariate_drift,0.0,0.0
spikes,dc3s_ftit,delay_jitter,0.0,0.0
spikes,dc3s_ftit,dropout,0.0,0.0
spikes,dc3s_ftit,label_drift,0.0,0.0
spikes,dc3s_ftit,out_of_order,0.0,0.0
spikes,dc3s_ftit,spikes,0.0,8.0
spikes,dc3s_ftit,stale_sensor,0.0,0.0
spikes,dc3s_wrapped,covariate_drift,0.0,0.0
spikes,dc3s_wrapped,delay_jitter,0.0,0.0
spikes,dc3s_wrapped,dropout,0.0,0.0
spikes,dc3s_wrapped,label_drift,0.0,0.0
spikes,dc3s_wrapped,out_of_order,0.0,0.0
spikes,dc3s_wrapped,spikes,0.0,8.0
spikes,dc3s_wrapped,stale_sensor,0.0,0.0
spikes,deterministic_lp,covariate_drift,0.0,0.0
spikes,deterministic_lp,delay_jitter,0.0,0.0
spikes,deterministic_lp,dropout,0.0,0.0
spikes,deterministic_lp,label_drift,0.0,0.0
spikes,deterministic_lp,out_of_order,0.0,0.0
spikes,deterministic_lp,spikes,0.05,8.0
spikes,deterministic_lp,stale_sensor,0.0,0.0
spikes,robust_fixed_interval,covariate_drift,0.0,0.0
spikes,robust_fixed_interval,delay_jitter,0.0,0.0
spikes,robust_fixed_interval,dropout,0.0,0.0
spikes,robust_fixed_interval,label_drift,0.0,0.0
spikes,robust_fixed_interval,out_of_order,0.0,0.0
spikes,robust_fixed_interval,spikes,0.225,8.0
spikes,robust_fixed_interval,stale_sensor,0.0,0.0
spikes,scenario_mpc,covariate_drift,0.0,0.0
spikes,scenario_mpc,delay_jitter,0.0,0.0
spikes,scenario_mpc,dropout,0.0,0.0
spikes,scenario_mpc,label_drift,0.0,0.0
spikes,scenario_mpc,out_of_order,0.0,0.0
spikes,scenario_mpc,spikes,0.0,8.0
spikes,scenario_mpc,stale_sensor,0.0,0.0
spikes,scenario_robust,covariate_drift,0.0,0.0
spikes,scenario_robust,delay_jitter,0.0,0.0
spikes,scenario_robust,dropout,0.0,0.0
spikes,scenario_robust,label_drift,0.0,0.0
spikes,scenario_robust,out_of_order,0.0,0.0
spikes,scenario_robust,spikes,0.0,8.0
spikes,scenario_robust,stale_sensor,0.0,0.0
