scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields,k_quality,k_drift,infl_max
dropout,11,scenario_robust,scenario_robust,192712790.480867,1347321832.842412,-0.004689,1.0,0.0,1574.306659,1.0,1.0,1574.306659,2104.010872,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.940476,1574.306659,61.682141,106.456844,63.08689,77.075291,2495.380617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,aci_conformal,aci_conformal,192305676.757148,1350928079.106356,0.014202,1.0,0.0,99.977,1.0,1.0,99.977,100.0097,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.928571,0.928571,99.977,26.95347,32.59648,39.668054,33.072668,1332.430487,0.0,0.0,0.0,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10191.586839,0.0,0.02381,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,cvar_interval,cvar_interval,192272056.267063,1350564232.289626,-0.003283,1.0,0.0,502.80855,0.440476,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,136722257.533447,136742518.015363,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.940476,0.940476,502.80855,29.8193,32.59648,44.452286,35.622689,1485.431715,0.75,7.358102,0.0,0.0,0.75,63.0,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.0,32.0,0.75,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,dc3s_ftit,dc3s_ftit,192338216.852058,1351004475.193758,0.031125,0.93191,74.321609,807.664524,1.0,1.0,807.664524,1266.842604,0.0,0.022908,0.046172,1.0,1.0,2.648001,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.952381,0.952381,807.664524,32.162466,32.59648,42.431654,35.7302,1491.882401,0.0,0.0,0.0,0.071429,0.0,0.0,0.0,0.0,0.0,0.0,1130.947576,10000.0,0.0,0.047619,0.0,0.0,1.0,0.0,0.4,0.0,2.0
dropout,22,dc3s_wrapped,dc3s_wrapped,192328744.735377,1350598291.873573,0.026199,0.999353,0.0,524.212689,1.0,0.952381,524.212689,546.153857,0.0,0.022908,0.046172,1.023361,1.046172,1.018585,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.940476,0.940476,524.212689,30.104842,32.59648,44.527778,35.743033,1492.652406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095503,10000.0,0.0,0.047619,0.047619,0.0,1.0,0.0,0.4,0.0,2.0
dropout,22,deterministic_lp,deterministic_lp,192278369.698866,1350591499.34584,0.0,1.0,0.0,502.80855,1.0,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.940476,0.940476,502.80855,29.8193,32.59648,44.452286,35.622689,1485.431715,0.130952,332.59067,0.5,0.0,0.130952,11.0,30.235515,165.054179,30.235515,165.054179,-311.177775,10191.869412,3.181818,0.130952,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,robust_fixed_interval,robust_fixed_interval,192272056.267063,1350564232.289626,-0.003283,1.0,0.0,502.80855,0.440476,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.940476,0.940476,502.80855,29.8193,32.59648,44.452286,35.622689,1485.431715,0.75,7.358102,0.0,0.0,0.75,63.0,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.0,32.0,0.75,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,scenario_mpc,scenario_mpc,192272067.027442,1350564303.122402,-0.003278,1.0,0.0,8001.684664,1.0,1.0,8001.684664,9228.051268,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,1.0,1.0,8001.684664,200.748468,32.59648,199.335765,144.226904,8001.684664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,22,scenario_robust,scenario_robust,192272067.027442,1350564303.122402,-0.003278,1.0,0.0,1141.269708,1.0,1.0,1141.269708,1430.85125,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.964286,503.45306,0.928571,503.45306,0.928571,503.45306,65.19296,291.222678,0.964286,0.964286,1141.269708,36.920657,73.508146,53.261311,54.563371,1803.639355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
nominal,11,aci_conformal,aci_conformal,192714275.569354,1347334608.966105,-0.003931,1.0,0.0,99.917,1.0,1.0,99.917,99.9917,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,99.917,2.497925,0.0,2.497925,1.665283,99.917,0.0,0.0,0.0,0.011905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.011905,0.0,0.0,0.0,336.0,0.4,0.0,2.0
