scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
drift_combo,5,cvar_interval,cvar_interval,231489117.913505,1612869930.412298,-0.002271,1.000000,0.000000,951.513298,0.781250,1.000000,951.513298,948.870247,0.000000,122147328.337673,122170244.368270,0.906250,951.316097,0.468750,968.514965,0.156250,1003.984538,2837.684472,5072.590307,0.510417,0.510417,951.513298,0.031250,0.079279,0.000000,0.000000,0.031250,3.000000,0.026426,0.027484,0.026426,0.027484,-0.027670,10000.000000,2.000000,0.031250,0.000000,0.000000,0.000000,384.000000
drift_combo,5,dc3s_wrapped,dc3s_wrapped,231489124.298253,1612869972.092380,-0.002268,0.858470,0.000000,2322.618667,0.781250,0.979167,2322.618667,10072.571635,4422.400000,,,0.906250,951.316097,0.468750,968.514965,0.156250,1003.984538,2837.684472,5072.590307,0.541667,0.552083,2322.618667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082823,10000.000000,0.000000,0.020833,0.020833,0.000000,1.000000,0.000000
drift_combo,5,deterministic_lp,deterministic_lp,231494374.292089,1612889371.878430,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.906250,951.316097,0.468750,968.514965,0.156250,1003.984538,2837.684472,5072.590307,0.510417,0.510417,951.513298,0.072917,332.734990,0.079365,0.000000,0.072917,7.000000,47.533570,224.237759,47.533570,224.237759,-312.066334,10000.000000,2.285714,0.072917,0.000000,0.000000,0.000000,384.000000
drift_combo,5,robust_fixed_interval,robust_fixed_interval,231489117.913505,1612869930.412298,-0.002271,1.000000,0.000000,12047.325706,0.781250,1.000000,12047.325706,14016.594404,0.000000,,,0.906250,951.316097,0.468750,968.514965,0.156250,1003.984538,2837.684472,5072.590307,0.791667,0.885417,12047.325706,0.031250,0.079279,0.000000,0.000000,0.031250,3.000000,0.026426,0.027484,0.026426,0.027484,-0.027670,10000.000000,2.000000,0.031250,0.000000,0.000000,0.000000,384.000000
drift_combo,6,cvar_interval,cvar_interval,232352045.392061,1614486037.387613,-0.002210,1.000000,0.000000,951.513298,0.635417,1.000000,951.513298,948.870247,0.000000,150116221.362336,150143541.944072,0.750000,987.930681,0.343750,989.689525,0.187500,957.430724,3178.254526,5621.961019,0.427083,0.427083,951.513298,0.531250,5.787572,0.000000,0.000000,0.531250,51.000000,0.113482,0.196064,0.113482,0.196064,-0.289658,10000.000000,26.000000,0.531250,0.000000,0.000000,0.000000,384.000000
drift_combo,6,dc3s_wrapped,dc3s_wrapped,232356118.288283,1614481587.753771,-0.000457,0.849482,0.000000,2408.931406,1.000000,0.968750,2408.931406,10072.571635,4422.400000,,,0.750000,987.930681,0.343750,989.689525,0.187500,957.430724,3178.254526,5621.961019,0.468750,0.479167,2408.931406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067369,10000.000000,0.000000,0.031250,0.031250,0.000000,1.000000,0.000000
drift_combo,6,deterministic_lp,deterministic_lp,232357180.122092,1614524822.043723,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.750000,987.930681,0.343750,989.689525,0.187500,957.430724,3178.254526,5621.961019,0.427083,0.427083,951.513298,0.083333,332.697942,0.246377,0.000000,0.083333,8.000000,41.587243,209.126805,41.587243,209.126805,-311.415938,10191.884051,3.625000,0.083333,0.000000,0.000000,0.000000,384.000000
drift_combo,6,robust_fixed_interval,robust_fixed_interval,232352045.392061,1614486037.387613,-0.002210,1.000000,0.000000,12098.484704,0.635417,1.000000,12098.484704,13950.177631,0.000000,,,0.750000,987.930681,0.343750,989.689525,0.187500,957.430724,3178.254526,5621.961019,0.812500,0.854167,12098.484704,0.531250,5.787572,0.000000,0.000000,0.531250,51.000000,0.113482,0.196064,0.113482,0.196064,-0.289658,10000.000000,26.000000,0.531250,0.000000,0.000000,0.000000,384.000000
drift_combo,7,cvar_interval,cvar_interval,233397653.306775,1616182968.072508,-0.005702,1.000000,0.000000,951.513298,0.645833,1.000000,951.513298,948.870247,0.000000,151306505.435329,151337292.858922,0.718750,981.358051,0.312500,991.141453,0.187500,957.201721,2919.853450,4723.183695,0.406250,0.406250,951.513298,0.531250,6.770488,0.000000,0.000000,0.531250,51.000000,0.132755,0.170128,0.132755,0.170128,-0.170128,10000.000000,26.000000,0.531250,0.000000,0.000000,0.000000,384.000000
drift_combo,7,dc3s_wrapped,dc3s_wrapped,233397669.372531,1616183073.043694,-0.005695,0.826708,0.000000,2629.662136,0.843750,0.968750,2629.662136,10072.571635,4422.400000,,,0.718750,981.358051,0.312500,991.141453,0.187500,957.201721,2919.853450,4723.183695,0.489583,0.489583,2629.662136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110286,10000.000000,0.000000,0.031250,0.031250,0.000000,1.000000,0.000000
