controller,fault_family,target,coverage,mean_width
nonreliability_conformal_runtime,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
nonreliability_conformal_runtime,dropout,relative_gap_m,0.902271754774964,64.42211191580462
nonreliability_conformal_runtime,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
nonreliability_conformal_runtime,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
nonreliability_conformal_runtime,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
nonreliability_conformal_runtime,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
nonreliability_conformal_runtime,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
nonreliability_conformal_runtime,stale,relative_gap_m,0.9025206361050226,64.68548438122676
orius,delay_jitter,ego_speed_mps,0.9879256604067638,0.7594677452318043
orius,delay_jitter,relative_gap_m,0.9295137536039897,117.62656676354692
orius,drift_combo,ego_speed_mps,0.9830561231004981,0.7040083442115423
orius,drift_combo,relative_gap_m,0.9191235155152598,102.17473680841638
orius,dropout,ego_speed_mps,0.9983584237756253,1.213517014648592
orius,dropout,relative_gap_m,0.9360057571867585,193.28678097228382
orius,out_of_order,ego_speed_mps,0.9834987519899373,0.6428448632631463
orius,out_of_order,relative_gap_m,0.9234999312120438,102.12615533391171
orius,spikes,ego_speed_mps,0.9978593356099129,1.1769410925950288
orius,spikes,relative_gap_m,0.9393713660653726,191.47288750241339
orius,stale,ego_speed_mps,0.9817500660666263,0.6182141614441495
orius,stale,relative_gap_m,0.913511013695223,93.8075719395237
predictor_only_no_runtime,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
predictor_only_no_runtime,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
predictor_only_no_runtime,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
predictor_only_no_runtime,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
predictor_only_no_runtime,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
predictor_only_no_runtime,dropout,relative_gap_m,0.902271754774964,64.42211191580462
predictor_only_no_runtime,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
predictor_only_no_runtime,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
predictor_only_no_runtime,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
predictor_only_no_runtime,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
predictor_only_no_runtime,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
predictor_only_no_runtime,stale,relative_gap_m,0.9025206361050226,64.68548438122676
robust_fixed_deceleration,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
robust_fixed_deceleration,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
robust_fixed_deceleration,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
robust_fixed_deceleration,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
robust_fixed_deceleration,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
robust_fixed_deceleration,dropout,relative_gap_m,0.902271754774964,64.42211191580462
robust_fixed_deceleration,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
robust_fixed_deceleration,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
robust_fixed_deceleration,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
robust_fixed_deceleration,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
robust_fixed_deceleration,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
robust_fixed_deceleration,stale,relative_gap_m,0.9025206361050226,64.68548438122676
rss_cbf_filter,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
rss_cbf_filter,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
rss_cbf_filter,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
rss_cbf_filter,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
rss_cbf_filter,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
rss_cbf_filter,dropout,relative_gap_m,0.902271754774964,64.42211191580462
rss_cbf_filter,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
rss_cbf_filter,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
rss_cbf_filter,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
rss_cbf_filter,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
rss_cbf_filter,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
rss_cbf_filter,stale,relative_gap_m,0.9025206361050226,64.68548438122676
stale_certificate_no_temporal_guard,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
stale_certificate_no_temporal_guard,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
stale_certificate_no_temporal_guard,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
stale_certificate_no_temporal_guard,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
stale_certificate_no_temporal_guard,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
stale_certificate_no_temporal_guard,dropout,relative_gap_m,0.902271754774964,64.42211191580462
stale_certificate_no_temporal_guard,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
stale_certificate_no_temporal_guard,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
stale_certificate_no_temporal_guard,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
